,交易年份,土地位置建物門牌,鄉鎮市區,屋齡,交易標的,交易年月日,建築完成年月,建物型態,建物現況格局-房,建物現況格局-廳,建物現況格局-衛,車位類別,電梯,單價元平方公尺,修正地址
5880,107,臺北市信義區信義路五段150巷330號十二樓之3,信義區,9.0,房地(土地+建物),1070714,0980408,套房(1房1廳1衛),1,1,1,,無,232765,False
5881,107,臺北市松山區八德路四段602號五樓之3,松山區,30.0,房地(土地+建物),1070718,0770816,住宅大樓(11層含以上有電梯),2,2,1,,有,120617,False
5882,107,臺北市信義區信義路五段127號六樓之14,信義區,12.0,房地(土地+建物),1070702,0951229,住宅大樓(11層含以上有電梯),2,1,1,,有,246144,False
5883,107,臺北市士林區環河北路三段207號6樓,士林區,1.0,房地(土地+建物),1070807,1061214,住宅大樓(11層含以上有電梯),2,2,2,,有,129842,False
5884,107,臺北市北投區石牌路二段315巷34弄1號十二樓之1,北投區,3.0,房地(土地+建物)+車位,1070629,1040804,住宅大樓(11層含以上有電梯),3,2,2,坡道平面,有,168171,False
5885,107,臺北市北投區磺港路156號五樓,北投區,34.0,房地(土地+建物),1070717,0730831,公寓(5樓含以下無電梯),4,2,2,,無,108186,False
5886,107,臺北市北投區稻香路170號,北投區,1.0,房地(土地+建物)+車位,1070801,1060815,華廈(10層含以下有電梯),3,2,2,坡道平面,有,136134,False
5887,107,臺北市大安區大安路二段3巷53號三樓,大安區,1.0,房地(土地+建物)+車位,1070516,1061228,住宅大樓(11層含以上有電梯),3,2,2,坡道平面,有,312850,False
5888,107,臺北市信義區永吉路225巷27號12樓,信義區,8.0,房地(土地+建物)+車位,1070801,0990510,住宅大樓(11層含以上有電梯),2,1,1,坡道機械,有,374358,False
5889,107,臺北市北投區天母北路105巷15弄1號7樓之7,北投區,23.0,房地(土地+建物),1070715,0840629,套房(1房1廳1衛),1,1,1,,無,169865,False
5890,107,臺北市士林區士東路266巷12弄6之1號,士林區,37.0,房地(土地+建物),1070801,0700904,公寓(5樓含以下無電梯),2,2,1,,無,121247,False
5891,107,臺北市士林區忠誠路一段171巷10弄6號6樓,士林區,26.0,房地(土地+建物)+車位,1070612,0810930,華廈(10層含以下有電梯),4,2,2,坡道平面,有,186987,False
5892,107,臺北市北投區中央北路四段473號4樓,北投區,39.0,房地(土地+建物),1070717,0680608,公寓(5樓含以下無電梯),3,1,2,,無,90344,False
5893,107,臺北市北投區民族街11巷12號5樓之1,北投區,11.0,房地(土地+建物)+車位,1070716,0960508,華廈(10層含以下有電梯),3,2,1,升降平面,有,163132,False
5894,107,臺北市大安區忠孝東路三段251巷7弄7之3號,大安區,51.0,房地(土地+建物),1070609,0561201,公寓(5樓含以下無電梯),3,3,2,,無,296402,False
5895,107,臺北市大安區信義路四段258號15樓之4,大安區,36.0,房地(土地+建物),1070617,0711106,住宅大樓(11層含以上有電梯),3,2,2,,有,246711,False
5896,107,臺北市大安區羅斯福路四段119巷38號,大安區,31.0,房地(土地+建物),1070705,0760318,華廈(10層含以下有電梯),5,3,3,,有,104557,False
5897,107,臺北市萬華區西園路二段281巷29號3樓,萬華區,45.0,房地(土地+建物),1070718,0621210,公寓(5樓含以下無電梯),3,2,2,,無,112802,False
5898,107,臺北市內湖區文湖街21巷112弄1號7樓,內湖區,10.0,房地(土地+建物)+車位,1070624,0970723,華廈(10層含以下有電梯),2,2,1,坡道平面,有,133645,False
5899,107,臺北市內湖區江南街71巷93弄11號7樓,內湖區,34.0,房地(土地+建物),1070617,0730131,華廈(10層含以下有電梯),3,2,2,,有,146849,False
5900,107,臺北市中山區復興北路448號10樓,中山區,10.0,房地(土地+建物),1070601,0971015,套房(1房1廳1衛),1,1,1,,無,231921,False
5901,107,臺北市中山區復興北路448號3樓之11,中山區,10.0,房地(土地+建物),1070612,0971015,套房(1房1廳1衛),1,1,1,,無,245089,False
5902,107,臺北市北投區復興三路58號三樓之1,北投區,1.0,房地(土地+建物),1070616,1061205,華廈(10層含以下有電梯),3,2,2,,有,186036,False
5903,107,臺北市北投區中和街496之4號四樓,北投區,42.0,房地(土地+建物),1070720,0651015,公寓(5樓含以下無電梯),1,1,1,,無,94862,False
5904,107,臺北市士林區福林路100巷11弄59號三樓,士林區,9.0,房地(土地+建物)+車位,1070619,0980316,華廈(10層含以下有電梯),4,2,2,坡道平面,有,169624,False
5905,107,臺北市北投區樹林路15巷3號3樓,北投區,39.0,房地(土地+建物),1070707,0681117,公寓(5樓含以下無電梯),3,2,1,,無,63914,False
5906,107,臺北市北投區中央北路三段236巷9號2樓,北投區,36.0,房地(土地+建物),1070722,0710226,公寓(5樓含以下無電梯),3,2,2,,無,92105,False
5907,107,臺北市北投區石牌路二段114號,北投區,45.0,房地(土地+建物),1070423,0620207,公寓(5樓含以下無電梯),0,0,0,,無,197606,False
5908,107,臺北市松山區民族東路665號七樓,松山區,37.0,房地(土地+建物),1070725,0701223,華廈(10層含以下有電梯),2,2,1,,有,127773,False
5909,107,臺北市信義區虎林街164巷17號四樓,信義區,41.0,房地(土地+建物),1070721,0660224,公寓(5樓含以下無電梯),3,2,1,,無,158264,False
5910,107,臺北市中山區民權東路二段135巷16號四樓之1,中山區,35.0,房地(土地+建物),1070602,0720829,華廈(10層含以下有電梯),1,1,1,,有,101370,False
5911,107,臺北市內湖區金湖路97號6樓,內湖區,8.0,房地(土地+建物)+車位,1070703,0990518,住宅大樓(11層含以上有電梯),3,2,2,坡道機械,有,205114,False
5912,107,臺北市中山區龍江路397巷26號二樓,中山區,37.0,房地(土地+建物),1070721,0700520,公寓(5樓含以下無電梯),3,2,2,,無,152779,False
5914,107,臺北市中山區中山北路2段62巷14號3樓,中山區,42.0,房地(土地+建物),1070713,0650520,公寓(5樓含以下無電梯),1,1,1,,無,186017,False
5915,107,臺北市大同區敦煌路166號三樓,大同區,36.0,房地(土地+建物),1070628,0710818,華廈(10層含以下有電梯),3,2,2,,有,120143,False
5916,107,臺北市萬華區青年路152巷37號三樓之2,萬華區,43.0,房地(土地+建物),1070712,0640523,公寓(5樓含以下無電梯),2,1,1,,無,89914,False
5917,107,臺北市萬華區環河南路三段135號二樓,萬華區,2.0,房地(土地+建物)+車位,1070715,1050419,住宅大樓(11層含以上有電梯),3,2,3,升降機械,有,180301,False
5918,107,臺北市中正區博愛路77號四樓之2,中正區,5.0,房地(土地+建物)+車位,1070618,1021129,住宅大樓(11層含以上有電梯),4,2,2,坡道平面,有,204644,False
5919,107,臺北市中正區同安街30巷9號,中正區,37.0,房地(土地+建物),1070712,0700910,公寓(5樓含以下無電梯),3,2,1,,無,179795,False
5920,107,臺北市文山區萬美街二段80號五樓之1,文山區,20.0,房地(土地+建物)+車位,1070723,0870213,華廈(10層含以下有電梯),3,1,1,坡道平面,有,114229,False
5921,107,臺北市文山區興隆路三段207巷18弄8號,文山區,34.0,房地(土地+建物),1070706,0730830,公寓(5樓含以下無電梯),3,2,2,,無,115495,False
5922,107,臺北市文山區景仁街24巷4號4樓,文山區,50.0,房地(土地+建物),1070527,0570610,公寓(5樓含以下無電梯),3,2,2,,無,142505,False
5923,107,臺北市中正區牯嶺街83號14樓之1,中正區,5.0,房地(土地+建物)+車位,1070803,1021223,住宅大樓(11層含以上有電梯),3,3,4,坡道平面,有,221504,False
5924,106,臺北市文山區政大一街257號4樓,文山區,3.0,房地(土地+建物)+車位,1060616,1031113,華廈(10層含以下有電梯),2,2,1,坡道平面,有,133376,False
5925,107,臺北市文山區木柵路二段109巷100弄2號二樓,文山區,25.0,房地(土地+建物),1070724,0821206,華廈(10層含以下有電梯),3,2,2,,有,124422,False
