,公司名稱,分公司名稱,分公司地址,分公司狀態,修正地址,lon,lat
177,全聯實業股份有限公司,中正同安分公司,臺北市中正區板溪里南昌路2段112號地下1樓,1,False,121.5220567,25.0257837
178,全聯實業股份有限公司,竹南公義分公司,苗栗縣竹南鎮大埔里公義路1146號,1,False,120.9021025,24.7121027
179,全聯實業股份有限公司,文山景美分公司,臺北市文山區景慶里羅斯福路6段218號地下1層,1,False,121.5405316,24.993060600000003
180,全聯實業股份有限公司,魚池分公司,南投縣魚池鄉魚池村魚池街539號,1,False,120.93516930000001,23.8982401
183,全聯實業股份有限公司,台中豐樂分公司,臺中市南屯區豐樂里文心南三路690、692號,1,False,120.6428642,24.133713999999998
184,全聯實業股份有限公司,平鎮貿五分公司,桃園市平鎮區貿易里貿五路12、18號,1,False,121.25270689999998,24.927691199999998
185,全聯實業股份有限公司,澎湖民權分公司,澎湖縣馬公市啟明里民權路51號,1,False,119.5674378,23.5649975
186,全聯實業股份有限公司,西螺福來分公司,雲林縣西螺鎮中興里中山路500號,1,False,120.4500078,23.798775300000003
187,全聯實業股份有限公司,基隆孝東分公司,基隆市信義區孝深里孝東路92號、96號、92號地下一層之1、92號地下一層之2,1,False,121.77977809999999,25.1281315
188,全聯實業股份有限公司,左營自由二分公司,高雄市左營區新上里自由二路325-1號,1,False,120.3080605,22.663751599999994
189,全聯實業股份有限公司,中和景德分公司,新北市中和區秀峰里景德街7號、9號1樓,1,False,121.51882280000001,24.991077999999998
190,全聯實業股份有限公司,台南永華分公司,臺南市安平區國平里華平路271、273、275、277號,1,False,120.17605995,22.9913362
191,全聯實業股份有限公司,岡山岡燕分公司,高雄市岡山區程香里岡燕路338號,1,False,120.3070274,22.791322
192,全聯實業股份有限公司,鳳山保南分公司,高雄市鳳山區保安里保南二路207、209號,1,False,120.3498652,22.596118699999998
193,全聯實業股份有限公司,八德麻園分公司,桃園市八德區大華里介壽路2段333、335、339號,1,False,121.2980671,24.948624799999997
194,全聯實業股份有限公司,澎湖百麗分公司,澎湖縣馬公市東文里新店路398號,1,False,119.58188980000001,23.5628997
195,全聯實業股份有限公司,平鎮祥安分公司,桃園市平鎮區湧安里祥安街1號,1,False,121.20282800000001,24.894105000000003
196,全聯實業股份有限公司,天母中山北分公司,臺北市士林區天山里中山北路7段154巷6號1、2樓,1,False,121.53305959999999,25.123410099999997
198,全聯實業股份有限公司,內湖網球場分公司,臺北市內湖區寶湖里民權東路6段208號2樓,1,False,121.59695369999999,25.0675684
